,correlation,mutual_info,lasso_coef,rf_importance,mean_rank
sealevelpressure_roll_std_14,0.46002300257268514,0.16484439831989306,0.0,0.001470272001571756,61.625
windspeed_roll_std_21,0.18122890492886104,0.12010472568226227,0.0,0.0022864439497853922,61.875
precip_roll_mean_84,0.42480140349852846,0.2926538157389649,0.0,0.0011408257320416452,62.125
windspeed_roll_mean_21,0.3280536984043186,0.11139534419369834,0.0,0.0018155094600829406,62.625
sealevelpressure_roll_std_56,0.32224249162171353,0.19146224645189314,0.0,0.001635077759470938,62.875
cloudcover_roll_std_28,0.3553271642861725,0.1737164648812195,0.0,0.0015308816989477916,63.875
uvindex,0.5417477528774093,0.22287169970085463,0.0,0.0003134367242655313,64.125
cloudcover_roll_mean_28,0.15319454120033493,0.1344569062963048,0.0,0.002196200216761245,64.375
is_spring,0.5716422793900575,0.2023267113379783,0.0,1.3808226754605265e-05,65.625
windspeed_sq,0.03717086270912291,0.011079674630780634,0.0008738163054991468,0.0025487849911587485,65.75
cloudcover_lag1,0.1841698944614653,0.08755354225492784,0.0,0.0020584936975599445,65.875
windspeed_roll_std_56,0.12468436659146502,0.17652819718491308,0.0,0.0019465222377569318,66.125
cloudcover_roll_mean_84,0.18047352710478964,0.19763846625901138,0.0,0.0015757536877884025,66.875
month_sin,0.40919550124678616,0.29076360639423093,0.0,0.0004664857465056574,66.875
windspeed_roll_std_14,0.17002363066684428,0.11420924613756789,0.0,0.0018634697967613335,67.875
is_autumn,0.47358661551467773,0.19686296441015694,0.0,0.0001413579061790498,68.625
precip_roll_mean_7,0.346001856499304,0.19358693180274988,0.0,0.001129315281026683,69.875
precip,0.12685080890539524,0.03908853917642441,0.0007241344295343264,0.0015851891304221647,70.0
humidity_roll_std_7,0.2551257628731221,0.07559803499498585,0.0,0.001681641515602348,70.875
cloudcover_roll_mean_7,0.19239458711180557,0.10371079271186723,0.0,0.0016085675525237201,71.125
cloudcover_lag3,0.14884778826616674,0.06014163207702872,0.002195998166503131,0.0012468701449554317,71.5
windspeed_roll_std_84,0.015776021158297703,0.18419357717906237,0.0,0.0018421300962599642,71.625
week_sin,0.24806682700794905,0.28519126313862886,0.0,0.0005866972685152867,71.875
cloudcover_roll_std_14,0.2527217271400713,0.0974174407467796,0.0,0.0014419434009999026,73.125
cloudcover_roll_std_21,0.3242805615518853,0.10699604602907797,0.0,0.0013236604593133098,73.125
windgust,0.04427056716053906,0.05003288370825221,0.0,0.006208475725485312,73.875
