datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2024-01-13,Hanoi,0.32743362831858414,0.4820717131474104,0.3999999999999999,0.24943820224719104,0.4151436031331593,0.33173076923076916,0.639344262295082,0.9260869565217393,0.01067492802829036,1.0,0.125,rain,0.0,0.0,0.11290322580645164,0.0997876857749469,0.09032795997776542,0.5856832971800436,0.995,0.4117647058823529,0.07171561051004637,0.06451612903225808,0.1,0.05263157894736842,2024-01-13T06:36:07,2024-01-13T17:34:05,0.061224489795918366,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2024-01-14,Hanoi,0.3687315634218289,0.4820717131474104,0.43157894736842106,0.2808988764044944,0.4151436031331593,0.3533653846153846,0.659016393442623,0.8942028985507247,0.004791109430020083,1.0,0.125,rain,0.0,0.0,0.04838709677419355,0.06157112526539277,0.09783212896053364,0.6182212581344899,0.9890000000000001,0.42156862745098045,0.11653786707882535,0.11469534050179214,0.2,0.05263157894736842,2024-01-14T06:36:12,2024-01-14T17:34:45,0.10204081632653061,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2024-01-15,Hanoi,0.471976401179941,0.5219123505976095,0.5017543859649123,0.3595505617977528,0.44125326370757184,0.40144230769230765,0.6786885245901639,0.7942028985507246,0.00029419092991351387,1.0,0.0417,rain,0.0,0.0,0.1899641577060932,0.0997876857749469,0.3237909949972207,0.6182212581344899,0.751,0.47058823529411775,0.358887171561051,0.3584229390681004,0.5,0.05263157894736842,2024-01-15T06:36:15,2024-01-15T17:35:26,0.1326530612244898,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2024-01-16,Hanoi,0.4424778761061947,0.4820717131474104,0.4736842105263158,0.3370786516853932,0.4151436031331593,0.38221153846153844,0.6524590163934426,0.7956521739130435,0.006541245268179047,1.0,0.0417,rain,0.0,0.0,0.1353046594982079,0.13800424628450106,0.3048916064480267,0.6008676789587817,0.8420000000000001,0.5980392156862746,0.1205564142194745,0.11827956989247312,0.2,0.05263157894736842,2024-01-16T06:36:17,2024-01-16T17:36:07,0.17346938775510207,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2024-01-17,Hanoi,0.4129793510324484,0.5219123505976095,0.47017543859649114,0.3146067415730337,0.44125326370757184,0.37980769230769224,0.701639344262295,0.9115942028985509,0.026567242140148953,1.0,0.0833,rain,0.0,0.0,0.20340501792114696,0.21443736730360938,0.32962757087270705,0.5661605206073759,0.96,0.38235294117647056,0.24667697063369395,0.24372759856630827,0.4,0.05263157894736842,2024-01-17T06:36:18,2024-01-17T17:36:48,0.20408163265306123,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2024-01-18,Hanoi,0.56047197640118,0.5617529880478087,0.543859649122807,0.4539325842696629,0.4673629242819844,0.4302884615384615,0.7049180327868853,0.7724637681159421,0.002065340405923444,1.0,0.0417,rain,0.0,0.0,0.21594982078853053,0.2972399150743099,0.38354641467481937,0.5227765726681106,0.7290000000000001,0.5980392156862746,0.3792890262751159,0.3835125448028674,0.5,0.05263157894736842,2024-01-18T06:36:18,2024-01-18T17:37:28,0.25510204081632654,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2024-01-19,Hanoi,0.56047197640118,0.5617529880478087,0.5508771929824561,0.4561797752808989,0.4673629242819844,0.43749999999999994,0.7180327868852459,0.7855072463768116,0.00015610130975002775,1.0,0.0417,rain,0.0,0.0,0.22222222222222227,0.33545647558386416,0.34741523068371316,0.4967462039045536,0.79,0.5686274509803921,0.4250386398763524,0.4301075268817205,0.5,0.05263157894736842,2024-01-19T06:36:16,2024-01-19T17:38:09,0.2755102040816327,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2024-01-20,Hanoi,0.5545722713864307,0.5219123505976095,0.5649122807017544,0.45168539325842694,0.44125326370757184,0.4447115384615385,0.7114754098360655,0.7449275362318841,0.005103312049520138,1.0,0.2917,rain,0.0,0.0,0.2965949820788531,0.2972399150743099,0.3451917732073374,0.5119305856832952,0.873,0.6372549019607844,0.3650695517774343,0.3620071684587814,0.5,0.05263157894736842,2024-01-20T06:36:12,2024-01-20T17:38:50,0.3163265306122449,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2024-01-21,Hanoi,0.3510324483775811,0.3227091633466135,0.32280701754385965,0.2674157303370786,0.3107049608355092,0.2788461538461538,0.5540983606557377,0.8826086956521739,0.0029509151439284093,1.0,0.0833,rain,0.0,0.0,0.12544802867383514,0.2972399150743099,0.15981100611450808,0.5900216919739663,1.0,0.5294117647058824,0.08284389489953632,0.0788530465949821,0.1,0.05263157894736842,2024-01-21T06:36:08,2024-01-21T17:39:30,0.34693877551020413,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
2024-01-22,Hanoi,0.20058997050147492,0.1633466135458167,0.18596491228070178,0.15280898876404497,0.20626631853785904,0.18509615384615385,0.36721311475409835,0.7376811594202899,0.01136537612910779,1.0,0.125,rain,0.0,0.0,0.2616487455197133,0.33545647558386416,0.09505280711506393,0.7006507592190871,1.0,0.5882352941176472,0.060587326120556416,0.07168458781362008,0.1,0.05263157894736842,2024-01-22T06:36:02,2024-01-22T17:40:10,0.3877551020408163,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
